dataset_id	geo_sample	sample_prefix	diagnosis	tissue_source	donor_or_gestation_code	replicate	matrix_file	barcode_file	genes_file	matrix_exists	barcode_exists	genes_exists	condition_code	tissue_code
GSE214607	GSM6613031	GSM6613031_NC_D6_rep1	Control	Decidua	D6	rep1	data/raw/GSE214607/extracted/GSM6613031_NC_D6_rep1_matrix.mtx.gz	data/raw/GSE214607/extracted/GSM6613031_NC_D6_rep1_barcodes.tsv.gz	data/raw/GSE214607/extracted/GSM6613031_NC_D6_rep1_genes.tsv.gz	TRUE	TRUE	TRUE	NC	D
GSE214607	GSM6613032	GSM6613032_NC_D7_rep1	Control	Decidua	D7	rep1	data/raw/GSE214607/extracted/GSM6613032_NC_D7_rep1_matrix.mtx.gz	data/raw/GSE214607/extracted/GSM6613032_NC_D7_rep1_barcodes.tsv.gz	data/raw/GSE214607/extracted/GSM6613032_NC_D7_rep1_genes.tsv.gz	TRUE	TRUE	TRUE	NC	D
GSE214607	GSM6613033	GSM6613033_NC_D7_rep2	Control	Decidua	D7	rep2	data/raw/GSE214607/extracted/GSM6613033_NC_D7_rep2_matrix.mtx.gz	data/raw/GSE214607/extracted/GSM6613033_NC_D7_rep2_barcodes.tsv.gz	data/raw/GSE214607/extracted/GSM6613033_NC_D7_rep2_genes.tsv.gz	TRUE	TRUE	TRUE	NC	D
GSE214607	GSM6613034	GSM6613034_NC_D8_rep1	Control	Decidua	D8	rep1	data/raw/GSE214607/extracted/GSM6613034_NC_D8_rep1_matrix.mtx.gz	data/raw/GSE214607/extracted/GSM6613034_NC_D8_rep1_barcodes.tsv.gz	data/raw/GSE214607/extracted/GSM6613034_NC_D8_rep1_genes.tsv.gz	TRUE	TRUE	TRUE	NC	D
GSE214607	GSM6613035	GSM6613035_NC_D8_rep2	Control	Decidua	D8	rep2	data/raw/GSE214607/extracted/GSM6613035_NC_D8_rep2_matrix.mtx.gz	data/raw/GSE214607/extracted/GSM6613035_NC_D8_rep2_barcodes.tsv.gz	data/raw/GSE214607/extracted/GSM6613035_NC_D8_rep2_genes.tsv.gz	TRUE	TRUE	TRUE	NC	D
GSE214607	GSM6613036	GSM6613036_NC_V6_rep1	Control	Villi	V6	rep1	data/raw/GSE214607/extracted/GSM6613036_NC_V6_rep1_matrix.mtx.gz	data/raw/GSE214607/extracted/GSM6613036_NC_V6_rep1_barcodes.tsv.gz	data/raw/GSE214607/extracted/GSM6613036_NC_V6_rep1_genes.tsv.gz	TRUE	TRUE	TRUE	NC	V
GSE214607	GSM6613037	GSM6613037_NC_V7_rep1	Control	Villi	V7	rep1	data/raw/GSE214607/extracted/GSM6613037_NC_V7_rep1_matrix.mtx.gz	data/raw/GSE214607/extracted/GSM6613037_NC_V7_rep1_barcodes.tsv.gz	data/raw/GSE214607/extracted/GSM6613037_NC_V7_rep1_genes.tsv.gz	TRUE	TRUE	TRUE	NC	V
GSE214607	GSM6613038	GSM6613038_NC_V7_rep2	Control	Villi	V7	rep2	data/raw/GSE214607/extracted/GSM6613038_NC_V7_rep2_matrix.mtx.gz	data/raw/GSE214607/extracted/GSM6613038_NC_V7_rep2_barcodes.tsv.gz	data/raw/GSE214607/extracted/GSM6613038_NC_V7_rep2_genes.tsv.gz	TRUE	TRUE	TRUE	NC	V
GSE214607	GSM6613039	GSM6613039_NC_V8_rep1	Control	Villi	V8	rep1	data/raw/GSE214607/extracted/GSM6613039_NC_V8_rep1_matrix.mtx.gz	data/raw/GSE214607/extracted/GSM6613039_NC_V8_rep1_barcodes.tsv.gz	data/raw/GSE214607/extracted/GSM6613039_NC_V8_rep1_genes.tsv.gz	TRUE	TRUE	TRUE	NC	V
GSE214607	GSM6613040	GSM6613040_NC_V8_rep2	Control	Villi	V8	rep2	data/raw/GSE214607/extracted/GSM6613040_NC_V8_rep2_matrix.mtx.gz	data/raw/GSE214607/extracted/GSM6613040_NC_V8_rep2_barcodes.tsv.gz	data/raw/GSE214607/extracted/GSM6613040_NC_V8_rep2_genes.tsv.gz	TRUE	TRUE	TRUE	NC	V
GSE214607	GSM6613041	GSM6613041_RM_D6_rep1	RM	Decidua	D6	rep1	data/raw/GSE214607/extracted/GSM6613041_RM_D6_rep1_matrix.mtx.gz	data/raw/GSE214607/extracted/GSM6613041_RM_D6_rep1_barcodes.tsv.gz	data/raw/GSE214607/extracted/GSM6613041_RM_D6_rep1_genes.tsv.gz	TRUE	TRUE	TRUE	RM	D
GSE214607	GSM6613042	GSM6613042_RM_D7_rep1	RM	Decidua	D7	rep1	data/raw/GSE214607/extracted/GSM6613042_RM_D7_rep1_matrix.mtx.gz	data/raw/GSE214607/extracted/GSM6613042_RM_D7_rep1_barcodes.tsv.gz	data/raw/GSE214607/extracted/GSM6613042_RM_D7_rep1_genes.tsv.gz	TRUE	TRUE	TRUE	RM	D
GSE214607	GSM6613043	GSM6613043_RM_D8_rep1	RM	Decidua	D8	rep1	data/raw/GSE214607/extracted/GSM6613043_RM_D8_rep1_matrix.mtx.gz	data/raw/GSE214607/extracted/GSM6613043_RM_D8_rep1_barcodes.tsv.gz	data/raw/GSE214607/extracted/GSM6613043_RM_D8_rep1_genes.tsv.gz	TRUE	TRUE	TRUE	RM	D
GSE214607	GSM6613044	GSM6613044_RM_V6_rep1	RM	Villi	V6	rep1	data/raw/GSE214607/extracted/GSM6613044_RM_V6_rep1_matrix.mtx.gz	data/raw/GSE214607/extracted/GSM6613044_RM_V6_rep1_barcodes.tsv.gz	data/raw/GSE214607/extracted/GSM6613044_RM_V6_rep1_genes.tsv.gz	TRUE	TRUE	TRUE	RM	V
GSE214607	GSM6613045	GSM6613045_RM_V7_rep1	RM	Villi	V7	rep1	data/raw/GSE214607/extracted/GSM6613045_RM_V7_rep1_matrix.mtx.gz	data/raw/GSE214607/extracted/GSM6613045_RM_V7_rep1_barcodes.tsv.gz	data/raw/GSE214607/extracted/GSM6613045_RM_V7_rep1_genes.tsv.gz	TRUE	TRUE	TRUE	RM	V
GSE214607	GSM6613046	GSM6613046_RM_V8_rep1	RM	Villi	V8	rep1	data/raw/GSE214607/extracted/GSM6613046_RM_V8_rep1_matrix.mtx.gz	data/raw/GSE214607/extracted/GSM6613046_RM_V8_rep1_barcodes.tsv.gz	data/raw/GSE214607/extracted/GSM6613046_RM_V8_rep1_genes.tsv.gz	TRUE	TRUE	TRUE	RM	V
